no real user sys rows
1 1.316 0 0.011 120
2 0.058 0.004 0.002 0
3 0.043 0.001 0.005 0
4 0.039 0 0.006 0
5 0.031 0 0.006 0
6 0.037 0.006 0 0
7 0.108 0.006 0 1
8 0.032 0.006 0 0
9 0.045 0.003 0.003 0
10 0.035 0.006 0 0
11 0.038 0.004 0.002 0
12 0.027 0.006 0 0
13 0.03 0 0.006 0
14 0.03 0 0.006 0
15 0.035 0.006 0 0
16 0.026 0 0.006 1
17 0.018 0 0.006 0
18 0.03 0.006 0 1
19 0.025 0 0.006 1
20 0.026 0.001 0.005 1
21 0.022 0.006 0 0
22 0.033 0.003 0.003 1
23 0.024 0 0.006 0
24 0.025 0.006 0 0
25 0.02 0.006 0 0
26 0.024 0.003 0.003 0
27 0.02 0 0.006 0
28 0.019 0.003 0.003 0
29 0.029 0.006 0 0
30 0.026 0.003 0.003 0
31 0.027 0.006 0 0
32 0.023 0.006 0 0
33 0.018 0.006 0 0
34 0.019 0.006 0 0
35 0.021 0.006 0 1
36 0.023 0.006 0 0
37 0.03 0.006 0 0
38 0.02 0.003 0.003 0
39 0.022 0.005 0 0
40 0.017 0.006 0 0
41 0.021 0.005 0.001 0
42 0.022 0.006 0 0
43 0.02 0.006 0 0
44 0.018 0.003 0.003 0
45 0.021 0 0.005 1
46 0.02 0.006 0 0
47 0.031 0.003 0.003 1
48 0.02 0 0.006 0
49 0.014 0 0.005 0
50 0.015 0 0.005 0
51 0.015 0.005 0 0
52 0.014 0.003 0.003 0
53 0.011 0.005 0 0
54 0.018 0.006 0 0
55 0.021 0.006 0 0
56 0.017 0 0.005 1
57 0.018 0.006 0 0
58 0.02 0.003 0.003 0
59 0.01 0.005 0 0
60 0.018 0.006 0 0
61 0.119 0 0.005 0
62 0.024 0.006 0 0
63 0.019 0.005 0.001 0
64 0.022 0.006 0 0
65 0.018 0 0.006 0
66 0.019 0.006 0 0
67 0.009 0.005 0 0
68 0.019 0.005 0.001 0
69 0.022 0.006 0 0
70 0.021 0.003 0.003 0
71 0.013 0.006 0 0
72 0.022 0.005 0.001 0
73 0.016 0.006 0 0
74 0.014 0 0.005 0
75 0.019 0 0.006 0
76 0.021 0.006 0 0
77 0.014 0 0.006 0
78 0.014 0.006 0 0
79 0.019 0.006 0 0
80 0.014 0.003 0.003 0
81 0.016 0.006 0 0
82 0.015 0.006 0 0
83 0.015 0 0.005 0
84 0.011 0.006 0 0
85 0.015 0 0.006 0
86 0.014 0.006 0 0
87 0.016 0 0.006 0
88 0.017 0 0.006 0
89 0.016 0.003 0.003 0
90 0.009 0.005 0 0
91 0.014 0 0.005 0
92 0.019 0 0.006 0
93 0.011 0.006 0 0
94 0.014 0.006 0 0
95 0.017 0.005 0 0
96 0.013 0 0.006 0
97 0.013 0 0.005 1
98 0.028 0.006 0 1
99 0.012 0.005 0.001 0
100 0.016 0.006 0 0
101 0.025 0.006 0 1
102 0.015 0.006 0 0
103 0.024 0 0.005 1
104 0.023 0.006 0 0
105 0.015 0.006 0 0
106 0.018 0.005 0 0
107 0.011 0.006 0 0
108 0.022 0.006 0 1
109 0.02 0.006 0 1
